subjNum,type,force,response_aligned
51,baseline,fight,1.0
51,baseline,hit,1.0
51,baseline,leave,1.0
51,baseline,scratch,0.0
51,generated,accompany,0.0
51,generated,bother,0.75
51,generated,capture,0.625
51,generated,encircle,0.75
51,generated,fight,0.0
51,generated,hit,0.875
51,generated,leave,1.0
51,generated,scratch,0.375
52,baseline,accompany,1.0
52,baseline,bother,1.0
52,baseline,capture,1.0
52,baseline,encircle,1.0
52,baseline,fight,0.0
52,baseline,hit,0.0
52,baseline,leave,1.0
52,baseline,scratch,1.0
52,generated,accompany,1.0
52,generated,bother,0.375
52,generated,capture,1.0
52,generated,encircle,1.0
52,generated,fight,0.875
52,generated,hit,1.0
52,generated,leave,1.0
52,generated,scratch,0.875
53,baseline,accompany,1.0
53,baseline,bother,0.0
53,baseline,capture,0.0
53,baseline,encircle,1.0
53,baseline,fight,0.0
53,baseline,hit,0.0
53,baseline,leave,1.0
53,baseline,scratch,1.0
53,generated,accompany,0.75
53,generated,bother,0.375
53,generated,capture,0.875
53,generated,encircle,1.0
53,generated,fight,1.0
53,generated,hit,0.625
53,generated,leave,1.0
53,generated,scratch,1.0
54,baseline,accompany,0.0
54,baseline,bother,0.0
54,baseline,capture,1.0
54,baseline,encircle,1.0
54,baseline,fight,0.0
54,baseline,hit,1.0
54,baseline,leave,1.0
54,baseline,scratch,1.0
54,generated,accompany,0.375
54,generated,bother,1.0
54,generated,capture,1.0
54,generated,encircle,1.0
54,generated,fight,0.625
54,generated,hit,1.0
54,generated,leave,1.0
54,generated,scratch,0.125
55,baseline,accompany,1.0
55,baseline,bother,1.0
55,baseline,capture,1.0
55,baseline,encircle,1.0
55,baseline,fight,1.0
55,baseline,hit,1.0
55,baseline,leave,1.0
55,baseline,scratch,1.0
55,generated,accompany,0.75
55,generated,bother,0.375
55,generated,capture,0.625
55,generated,encircle,1.0
55,generated,fight,1.0
55,generated,hit,0.875
55,generated,leave,0.75
55,generated,scratch,0.625
56,baseline,accompany,1.0
56,baseline,bother,0.0
56,baseline,capture,1.0
56,baseline,encircle,1.0
56,baseline,fight,1.0
56,baseline,hit,1.0
56,baseline,leave,1.0
56,baseline,scratch,1.0
56,generated,accompany,0.375
56,generated,bother,0.75
56,generated,capture,0.375
56,generated,encircle,1.0
56,generated,fight,0.625
56,generated,hit,0.5
56,generated,leave,1.0
56,generated,scratch,0.125
57,baseline,accompany,1.0
57,baseline,bother,0.0
57,baseline,capture,1.0
57,baseline,encircle,1.0
57,baseline,fight,0.0
57,baseline,hit,1.0
57,baseline,leave,1.0
57,baseline,scratch,1.0
57,generated,accompany,1.0
57,generated,bother,0.5
57,generated,capture,0.5
57,generated,encircle,1.0
57,generated,fight,0.75
57,generated,hit,1.0
57,generated,leave,1.0
57,generated,scratch,0.875
58,baseline,accompany,1.0
58,baseline,bother,0.0
58,baseline,capture,1.0
58,baseline,encircle,1.0
58,baseline,fight,0.0
58,baseline,hit,0.0
58,baseline,leave,1.0
58,baseline,scratch,1.0
58,generated,accompany,0.75
58,generated,bother,0.0
58,generated,capture,1.0
58,generated,encircle,1.0
58,generated,fight,1.0
58,generated,hit,1.0
58,generated,leave,1.0
58,generated,scratch,0.125
59,baseline,accompany,1.0
59,baseline,bother,0.0
59,baseline,capture,0.0
59,baseline,encircle,1.0
59,baseline,fight,0.0
59,baseline,hit,0.0
59,baseline,leave,1.0
59,baseline,scratch,0.0
59,generated,accompany,0.625
59,generated,bother,0.125
59,generated,capture,0.125
59,generated,encircle,1.0
59,generated,fight,0.875
59,generated,hit,0.625
59,generated,leave,1.0
59,generated,scratch,0.875
