subjNum,subjStartDate,subjStartTime,trialIndex,exptId,label,labelIndex,rt,vidPlayCounts
1008,2025-09-30,23:02:23,52,5311_huddle with,Encircle,4,13.32,1
1008,2025-09-30,23:02:23,53,5318_ignore,Argue with,18,29.099,1
1008,2025-09-30,23:02:23,54,5372_accompany,Ignore,28,12.714,1
1008,2025-09-30,23:02:23,55,5401_pull,Play with,15,9.955,1
1008,2025-09-30,23:02:23,56,4999_capture,Chase,30,8.704,1
1008,2025-09-30,23:02:23,57,906_hug,Herd,27,12.996,1
1008,2025-09-30,23:02:23,58,5461_leave,Ignore,28,10.746,1
1008,2025-09-30,23:02:23,59,5475_tickle,Ignore,28,9.907,1
1008,2025-09-30,23:02:23,60,5479_avoid,Play with,15,3.248,1
1008,2025-09-30,23:02:23,61,5516_follow,Push,19,6.115,1
1008,2025-09-30,23:02:23,62,5523_herd,Leave,12,5.513,1
1008,2025-09-30,23:02:23,63,5585_block,Herd,27,11.389,1
1008,2025-09-30,23:02:23,64,5591_scratch,Argue with,18,20.312,1
1008,2025-09-30,23:02:23,65,5644_ignore,Poke,10,959.128,1
1008,2025-09-30,23:02:23,66,5775_block,Block,5,7.809,1
1008,2025-09-30,23:02:23,67,5776_mimic,Avoid,11,28.783,1
1013,2025-09-30,23:33:41,0,5810_talk to,Argue with,25,14.171,1
1013,2025-09-30,23:33:41,1,5842_push,Creep up on,4,30.185,1
1013,2025-09-30,23:33:41,2,5849_approach,Approach,0,6.216,1
1013,2025-09-30,23:33:41,3,5892_argue with,Tickle,18,5.115,1
1013,2025-09-30,23:33:41,4,5907_follow,Bother,27,17.271,1
1013,2025-09-30,23:33:41,5,5927_huddle with,Flirt with,9,6.346,1
1013,2025-09-30,23:33:41,6,995_flirt with,Play with,14,36.1,1
1013,2025-09-30,23:33:41,7,6025_play with,Argue with,25,15.033,1
1013,2025-09-30,23:33:41,8,6063_avoid,Chase,22,16.284,1
1013,2025-09-30,23:33:41,9,6064_ignore,Avoid,23,9.282,1
1013,2025-09-30,23:33:41,10,6085_creep up on,Leave,21,5.634,1
1013,2025-09-30,23:33:41,11,6093_poke,Flirt with,9,6.133,1
1013,2025-09-30,23:33:41,12,6143_pull,Accompany,15,5.549,1
1013,2025-09-30,23:33:41,13,6216_throw,Bother,27,7.684,1
1013,2025-09-30,23:33:41,14,6241_tickle,Bother,27,7.451,1
1013,2025-09-30,23:33:41,15,6285_escape,Leave,21,3.45,1
1013,2025-09-30,23:33:41,16,6300_accompany,Accompany,15,11.499,1
1013,2025-09-30,23:33:41,17,2273_block,Capture,29,10.883,1
1013,2025-09-30,23:33:41,18,4384_approach,Flirt with,9,16.067,2
1013,2025-09-30,23:33:41,19,4405_capture,Huddle with,11,8.016,1
1013,2025-09-30,23:33:41,20,2360_approach,Follow,7,8.817,1
1013,2025-09-30,23:33:41,21,4827_approach,Poke,17,7.451,2
1013,2025-09-30,23:33:41,22,4834_flirt with,Play with,14,8.615,1
1013,2025-09-30,23:33:41,23,4879_push,Argue with,25,4.8,1
1013,2025-09-30,23:33:41,24,4909_pull,Mimic,24,14.55,1
1013,2025-09-30,23:33:41,25,4932_fight,Bother,27,8.534,1
1013,2025-09-30,23:33:41,26,5263_kiss,Poke,17,7.349,1
1013,2025-09-30,23:33:41,27,4978_escape,Leave,21,6.502,1
1013,2025-09-30,23:33:41,28,5001_mimic,Mimic,24,22.765,1
1013,2025-09-30,23:33:41,29,5031_examine,Encircle,8,10.267,1
1013,2025-09-30,23:33:41,30,5037_push,Creep up on,4,10.701,1
1013,2025-09-30,23:33:41,31,5058_throw,Encircle,8,5.615,1
1013,2025-09-30,23:33:41,32,1007_chase,Follow,7,32.584,1
1013,2025-09-30,23:33:41,33,5105_push,Play with,14,5.002,1
1013,2025-09-30,23:33:41,34,5135_pull,Examine,20,55.416,1
1013,2025-09-30,23:33:41,35,5149_hit,Bother,27,3.899,1
1013,2025-09-30,23:33:41,36,5163_approach,Play with,14,27.384,1
1013,2025-09-30,23:33:41,37,1069_lead,Follow,7,35.868,1
1013,2025-09-30,23:33:41,38,5172_capture,Huddle with,11,13.283,1
1013,2025-09-30,23:33:41,39,1086_bother,Argue with,25,15.267,1
1013,2025-09-30,23:33:41,40,5201_ignore,Leave,21,3.584,1
1013,2025-09-30,23:33:41,41,5218_examine,Encircle,8,5.116,1
